id,desc,accession,query_cov,seq_ident
ref|WP_030166058.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Actinobacteria],WP_030166058,0.985,0.546
ref|WP_133824470.1|,NAD(P)/FAD-dependent oxidoreductase [Actinomycetospora succinea],WP_133824470,0.97,0.546
tpg|HBS09659.1|,NAD(P)/FAD-dependent oxidoreductase [Microbacterium sp.],HBS09659,0.983,0.546
ref|WP_091699492.1|,NAD(P)/FAD-dependent oxidoreductase [Micrococcus terreus],WP_091699492,0.98,0.546
gb|MAV31297.1|,cyclohexanone monooxygenase [Cycloclasticus sp.],MAV31297,0.985,0.561
gb|RLA21482.1|,NAD(P)/FAD-dependent oxidoreductase [Gammaproteobacteria bacterium],RLA21482,0.963,0.565
ref|WP_075836523.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [unclassified Rhodococcus],WP_075836523,0.97,0.535
ref|WP_167120509.1|,NAD(P)-binding domain-containing protein [Rhodococcus sp. A14],WP_167120509,0.97,0.531
ref|WP_011805343.1|,NAD(P)/FAD-dependent oxidoreductase [Acidovorax sp. JS42],WP_011805343,0.836,0.537
ref|WP_073362180.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus jostii],WP_073362180,0.97,0.526
ref|WP_095865587.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus sp. ACS1],WP_095865587,0.959,0.524
ref|WP_028266969.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. MA-N2],WP_028266969,0.98,0.537
ref|WP_058929008.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudarthrobacter sulfonivorans],WP_058929008,0.972,0.535
ref|WP_159542524.1|,NAD(P)-binding domain-containing protein [Epidermidibacterium keratini],WP_159542524,0.969,0.55
gb|OJY43802.1|,cyclohexanone monooxygenase [Pseudonocardia sp. 73-21],OJY43802,0.985,0.546
ref|WP_013672695.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia dioxanivorans],WP_013672695,0.974,0.542
ref|WP_072943629.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus koreensis],WP_072943629,0.959,0.522
emb|CNE53776.1|,Putative (cyclohexanone) monooxygenase [Mycobacterium tuberculosis],CNE53776,0.987,0.55
ref|WP_132438124.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [unclassified Rathayibacter],WP_132438124,0.989,0.535
ref|WP_073457557.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia thermophila],WP_073457557,0.985,0.535
ref|WP_097866733.1|,NAD(P)/FAD-dependent oxidoreductase [Streptomyces sp. rh34],WP_097866733,0.967,0.522
ref|WP_123502269.1|,NAD(P)/FAD-dependent oxidoreductase [Streptomyces sp. 844.5],WP_123502269,0.943,0.544
ref|WP_097206365.1|,NAD(P)/FAD-dependent oxidoreductase [Geodermatophilus sabuli],WP_097206365,0.963,0.546
ref|WP_142649847.1|,NAD(P)-binding domain-containing protein [Microbispora sp. SCL1-1],WP_142649847,0.952,0.55
ref|WP_088385153.1|,NAD(P)/FAD-dependent oxidoreductase [Roseateles aquatilis],WP_088385153,0.978,0.544
gb|RTL22606.1|,NAD(P)/FAD-dependent oxidoreductase [Burkholderiales bacterium],RTL22606,0.978,0.546
ref|WP_107766980.1|,NAD(P)/FAD-dependent oxidoreductase [Nocardioides terrigena],WP_107766980,0.959,0.539
ref|WP_141470138.1|,NAD(P)-binding domain-containing protein [Rhodococcus sp. WS4],WP_141470138,0.989,0.526
ref|WP_120005593.1|,NAD(P)/FAD-dependent oxidoreductase [Nesterenkonia muleiensis],WP_120005593,0.963,0.544
ref|WP_095865598.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus sp. ACS1],WP_095865598,0.959,0.518
ref|WP_055483527.1|,NAD(P)/FAD-dependent oxidoreductase [Microbispora sp. GMKU363],WP_055483527,0.989,0.544
ref|WP_133205499.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. JH1-1],WP_133205499,0.97,0.533
ref|WP_104176314.1|,NAD(P)/FAD-dependent oxidoreductase [Arthrobacter sp. Y81],WP_104176314,0.982,0.541
ref|WP_147942339.1|,NAD(P)-binding domain-containing protein [Microbispora sp. CSR-4],WP_147942339,0.952,0.55
ref|WP_100877702.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia alni],WP_100877702,0.974,0.533
ref|WP_139465010.1|,FAD-dependent oxidoreductase [Corynebacterium tapiri],WP_139465010,0.976,0.535
ref|WP_030909487.1|,NAD(P)/FAD-dependent oxidoreductase [Streptosporangium amethystogenes],WP_030909487,0.978,0.546
ref|WP_062395204.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia sp. AL041005-10],WP_062395204,0.974,0.535
ref|WP_073574803.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia],WP_073574803,0.974,0.535
gb|ELB93569.1|,cyclohexanone monooxygenase [Rhodococcus wratislaviensis IFP 2016],ELB93569,0.97,0.517
ref|WP_037243025.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus wratislaviensis],WP_037243025,0.959,0.533
ref|WP_061699807.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus sp. LB1],WP_061699807,0.97,0.535
gb|EMP14789.2|,cyclohexanone monooxygenase [Gordonia sp. NB4-1Y],EMP14789,0.959,0.524
ref|WP_053778360.1|,NAD(P)/FAD-dependent oxidoreductase [Gordonia sp. NB4-1Y],WP_053778360,0.959,0.524
ref|WP_156229230.1|,NAD(P)-binding domain-containing protein [Corynebacterium sp. 2019],WP_156229230,0.97,0.53
gb|QGU05831.1|,"Cyclohexanone 1,2-monooxygenase [Corynebacterium sp. 2019]",QGU05831,0.97,0.53
ref|WP_091699487.1|,"NAD(P)/FAD-dependent oxidoreductase, partial [Micrococcus terreus]",WP_091699487,0.932,0.526
ref|WP_133696914.1|,NAD(P)/FAD-dependent oxidoreductase [Mycobacterium sp. BK086],WP_133696914,0.937,0.528
ref|WP_108055228.1|,NAD(P)/FAD-dependent oxidoreductase [Mycobacterium sp. YR782],WP_108055228,0.937,0.528
ref|WP_112299802.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus wratislaviensis],WP_112299802,0.959,0.531
ref|WP_168011931.1|,NAD(P)/FAD-dependent oxidoreductase [Nonomuraea sp. FMUSA5-5],WP_168011931,0.972,0.541
ref|WP_159941363.1|,MULTISPECIES: NAD(P)-binding domain-containing protein [unclassified Nocardiopsis],WP_159941363,0.976,0.52
gb|QGU03353.1|,"Cyclohexanone 1,2-monooxygenase [Corynebacterium sp. 2019]",QGU03353,0.983,0.528
ref|WP_156226549.1|,NAD(P)-binding domain-containing protein [Corynebacterium sp. 2019],WP_156226549,0.983,0.528
ref|WP_095867568.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus sp. ACPA1],WP_095867568,0.97,0.531
gb|AMQ09357.1|,cyclohexanone monooxygenase [Lysobacter antibioticus],AMQ09357,0.972,0.528
ref|WP_132163776.1|,NAD(P)/FAD-dependent oxidoreductase [Mycobacterium sp. YR708],WP_132163776,0.937,0.524
ref|XP_013275577.1|,hypothetical protein Z518_03097 [Rhinocladiella mackenziei CBS 650.93],XP_013275577,1.015,0.546
ref|WP_091503993.1|,NAD(P)/FAD-dependent oxidoreductase [Amycolatopsis sacchari],WP_091503993,0.982,0.539
ref|WP_057920115.1|,NAD(P)/FAD-dependent oxidoreductase [Lysobacter antibioticus],WP_057920115,0.972,0.528
ref|WP_117410179.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Microbispora],WP_117410179,0.952,0.537
ref|WP_114847378.1|,NAD(P)/FAD-dependent oxidoreductase [Dyella sp. L4-6],WP_114847378,0.972,0.541
gb|ALN63245.1|,cyclohexanone monooxygenase [Lysobacter antibioticus],ALN63245,0.972,0.528
ref|WP_154956607.1|,NAD(P)/FAD-dependent oxidoreductase [Microbispora tritici],WP_154956607,0.952,0.537
ref|WP_031373224.1|,NAD(P)/FAD-dependent oxidoreductase [Lysobacter antibioticus],WP_031373224,0.972,0.528
ref|WP_026936286.1|,NAD(P)/FAD-dependent oxidoreductase [Gulosibacter molinativorax],WP_026936286,0.967,0.524
ref|WP_132426427.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia endophytica],WP_132426427,0.972,0.533
ref|WP_133985730.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Rhodococcus],WP_133985730,0.959,0.524
ref|WP_048860806.1|,NAD(P)/FAD-dependent oxidoreductase [Acidisphaera rubrifaciens],WP_048860806,0.969,0.542
ref|WP_087972047.1|,NAD(P)/FAD-dependent oxidoreductase [Oceanobacillus rekensis],WP_087972047,0.954,0.541
ref|XP_018134634.1|,hypothetical protein VE01_00844 [Pseudogymnoascus verrucosus],XP_018134634,0.982,0.533
ref|WP_005265071.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus opacus],WP_005265071,0.976,0.552
dbj|BAH56670.1|,cyclohexanone monooxygenase [Rhodococcus sp. HI-31],BAH56670,0.976,0.526
ref|WP_149369526.1|,NAD(P)/FAD-dependent oxidoreductase [Mycolicibacterium sp. P9-64],WP_149369526,0.958,0.522
ref|WP_140687463.1|,NAD(P)-binding protein [Mycolicibacterium hodleri],WP_140687463,0.939,0.517
ref|WP_007299282.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus imtechensis],WP_007299282,0.976,0.552
ref|WP_150939284.1|,NAD(P)-binding domain-containing protein [Microbispora sp. Gxj-6],WP_150939284,0.952,0.535
ref|XP_024719479.1|,hypothetical protein M430DRAFT_142104 [Amorphotheca resinae ATCC 22711],XP_024719479,0.969,0.537
ref|XP_009153249.1|,cyclohexanone monooxygenase [Exophiala dermatitidis NIH/UT8656],XP_009153249,1.006,0.542
ref|WP_147876051.1|,FAD-dependent oxidoreductase [Streptomyces sp. IB2014 016-6],WP_147876051,0.982,0.509
gb|PVH72881.1|,FAD/NAD(P)-binding domain-containing protein [Cadophora sp. DSE1049],PVH72881,1.026,0.548
ref|XP_007728061.1|,cyclohexanone monooxygenase [Capronia coronata CBS 617.96],XP_007728061,1.007,0.539
ref|WP_080039573.1|,NAD(P)/FAD-dependent oxidoreductase [Nonomuraea sp. ATCC 55076],WP_080039573,0.972,0.542
ref|WP_047872139.1|,NAD(P)/FAD-dependent oxidoreductase [Nocardiopsis sp. RV163],WP_047872139,0.976,0.511
ref|WP_139909646.1|,FAD-dependent oxidoreductase [Brevibacterium linens],WP_139909646,0.978,0.507
ref|XP_007733299.1|,cyclohexanone monooxygenase [Capronia epimyces CBS 606.96],XP_007733299,1.011,0.535
gb|OBT54752.1|,hypothetical protein VE04_05431 [Pseudogymnoascus sp. 24MN13],OBT54752,0.982,0.524
ref|XP_013258293.1|,cyclohexanone monooxygenase [Exophiala aquamarina CBS 119918],XP_013258293,0.976,0.528
ref|WP_164247642.1|,FAD-dependent oxidoreductase [Streptomyces sp. S4.7],WP_164247642,0.982,0.507
ref|WP_146905264.1|,NAD(P)-binding domain-containing protein [Frigoribacterium sp. ACAM 257],WP_146905264,0.928,0.522
gb|PZO61926.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudoxanthomonas suwonensis],PZO61926,0.978,0.506
gb|OQO12628.1|,hypothetical protein B0A48_02090 [Rachicladosporium antarcticum],OQO12628,0.98,0.53
ref|WP_132146156.1|,NAD(P)/FAD-dependent oxidoreductase [Actinomadura sp. 7K507],WP_132146156,0.98,0.526
ref|WP_094800683.1|,NAD(P)/FAD-dependent oxidoreductase [Nocardiopsis dassonvillei],WP_094800683,0.976,0.506
gb|PNS14599.1|,hypothetical protein CAC42_2656 [Sphaceloma murrayae],PNS14599,1.013,0.544
gb|KAF2034026.1|,FAD/NAD(P)-binding domain-containing protein [Setomelanomma holmii],KAF2034026,1.011,0.542
gb|KIV87586.1|,hypothetical protein PV11_03120 [Exophiala sideris],KIV87586,1.013,0.53
ref|WP_019610416.1|,NAD(P)/FAD-dependent oxidoreductase [Nocardiopsis sp. CNS-639],WP_019610416,0.976,0.504
ref|WP_013156022.1|,NAD(P)/FAD-dependent oxidoreductase [Nocardiopsis dassonvillei],WP_013156022,0.976,0.504
ref|WP_130396283.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [unclassified Nocardiopsis],WP_130396283,0.976,0.502
ref|WP_117198619.1|,NAD(P)/FAD-dependent oxidoreductase [Nocardiopsis sp. TNDT3],WP_117198619,0.976,0.502
gb|OQO28297.1|,hypothetical protein B0A51_03916 [Rachicladosporium sp. CCFEE 5018],OQO28297,0.98,0.526
gb|OQO22096.1|,hypothetical protein B0A51_09552 [Rachicladosporium sp. CCFEE 5018],OQO22096,0.978,0.528
emb|SCO80723.1|,related to flavoprotein involved in K+ transport [Fusarium oxysporum],SCO80723,0.982,0.52
ref|WP_153341075.1|,FAD-dependent oxidoreductase [Nocardia sp. RB56],WP_153341075,0.967,0.507
gb|MAA73281.1|,cyclohexanone monooxygenase [Salinisphaeraceae bacterium],MAA73281,0.989,0.531
gb|TVY76281.1|,Baeyer-Villiger monooxygenase [Fusarium oxysporum f. sp. cubense],TVY76281,0.982,0.518
ref|WP_027929099.1|,NAD(P)/FAD-dependent oxidoreductase [Amycolatopsis thermoflava],WP_027929099,0.98,0.557
gb|TKA70777.1|,hypothetical protein B0A55_05465 [Friedmanniomyces simplex],TKA70777,0.989,0.518
gb|AGS49475.1|,cyclohexanone monooxygenase [uncultured bacterium esnapd6],AGS49475,0.974,0.5
ref|WP_019928595.1|,NAD(P)/FAD-dependent oxidoreductase [Nocardia sp. BMG111209],WP_019928595,0.961,0.504
ref|XP_016613950.1|,hypothetical protein Z519_12184 [Cladophialophora bantiana CBS 173.52],XP_016613950,1.026,0.535
gb|EXM15038.1|,cyclohexanone monooxygenase [Fusarium oxysporum f. sp. vasinfectum 25433],EXM15038,0.982,0.518
ref|WP_121139526.1|,NAD(P)/FAD-dependent oxidoreductase [Nocardioides sp. CF479],WP_121139526,0.961,0.511
gb|RKK71064.1|,Baeyer-Villiger monooxygenase [Fusarium oxysporum],RKK71064,0.982,0.518
gb|ENH68050.1|,"Cyclohexanone 1,2-monooxygenase [Fusarium oxysporum f. sp. cubense race 1]",ENH68050,0.982,0.517
ref|WP_017982805.1|,NAD(P)/FAD-dependent oxidoreductase [Amycolatopsis methanolica],WP_017982805,0.98,0.557
gb|EXA33866.1|,cyclohexanone monooxygenase [Fusarium oxysporum f. sp. pisi HDV247],EXA33866,0.982,0.518
gb|KAF2120997.1|,hypothetical protein BDV96DRAFT_283413 [Lophiotrema nucula],KAF2120997,1.052,0.541
ref|WP_158494000.1|,NAD(P)/FAD-dependent oxidoreductase [Micrococcus luteus],WP_158494000,0.983,0.509
gb|EGU77780.1|,hypothetical protein FOXB_11710 [Fusarium oxysporum Fo5176],EGU77780,0.982,0.517
ref|XP_003043692.1|,hypothetical protein NECHADRAFT_48101 [[Nectria] haematococca mpVI 77-13-4],XP_003043692,0.97,0.526
gb|AGS49507.1|,cyclohexanone monooxygenase [uncultured bacterium esnapd7],AGS49507,0.974,0.498
ref|WP_149259225.1|,FAD-dependent oxidoreductase [Actinomadura sp. K4S16],WP_149259225,0.969,0.524
ref|WP_028646602.1|,NAD(P)/FAD-dependent oxidoreductase [Nocardiopsis sp. CNT312],WP_028646602,0.976,0.487
gb|OQO01067.1|,hypothetical protein B0A48_13310 [Rachicladosporium antarcticum],OQO01067,0.994,0.522
ref|XP_018691202.1|,cyclohexanone monooxygenase [Fonsecaea erecta],XP_018691202,1.004,0.52
ref|WP_147103202.1|,NAD(P)-binding domain-containing protein [Pseudonocardia sulfidoxydans],WP_147103202,0.97,0.513
ref|XP_008716582.1|,hypothetical protein HMPREF1541_04012 [Cyphellophora europaea CBS 101466],XP_008716582,0.993,0.517
ref|WP_145783680.1|,FAD-dependent oxidoreductase [Streptomyces sp. CNZ287],WP_145783680,0.98,0.491
ref|WP_067634747.1|,NAD(P)/FAD-dependent oxidoreductase [Actinomadura latina],WP_067634747,0.969,0.524
ref|WP_058228527.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Rhodococcus],WP_058228527,0.969,0.496
ref|WP_125938015.1|,NAD(P)/FAD-dependent oxidoreductase [Streptomyces sp. WAC 06738],WP_125938015,0.98,0.491
ref|WP_103380803.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia dioxanivorans],WP_103380803,0.97,0.509
ref|WP_013674374.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia dioxanivorans],WP_013674374,0.97,0.507
ref|WP_047018977.1|,NAD(P)/FAD-dependent oxidoreductase [Streptomyces sp. CNQ-509],WP_047018977,0.98,0.491
emb|CZT13237.1|,"related to Cyclohexanone 1,2-monooxygenase [Rhynchosporium agropyri]",CZT13237,1.007,0.509
ref|XP_007721974.1|,cyclohexanone monooxygenase [Capronia coronata CBS 617.96],XP_007721974,1.057,0.53
ref|WP_047269920.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus erythropolis],WP_047269920,0.969,0.494
gb|KIW62213.1|,hypothetical protein PV04_10409 [Phialophora americana],KIW62213,1.048,0.542
ref|WP_141489145.1|,MULTISPECIES: NAD(P)-binding domain-containing protein [unclassified Rhodococcus],WP_141489145,0.969,0.493
ref|WP_133410363.1|,NAD(P)/FAD-dependent oxidoreductase [Kocuria rosea],WP_133410363,0.972,0.48
gb|KAF3035528.1|,"hypothetical protein E8E12_001126, partial [Didymella heteroderae]",KAF3035528,1.009,0.52
gb|KAF1920680.1|,cyclohexanone monooxygenase [Ampelomyces quisqualis],KAF1920680,0.978,0.511
ref|WP_101420617.1|,NAD(P)/FAD-dependent oxidoreductase [Streptomyces sp. CMB-StM0423],WP_101420617,0.98,0.483
gb|RMX89196.1|,hypothetical protein D0869_01049 [Hortaea werneckii],RMX89196,0.983,0.513
gb|RMZ03116.1|,hypothetical protein D0864_03031 [Hortaea werneckii],RMZ03116,0.983,0.513
ref|WP_161994834.1|,"NAD(P)/FAD-dependent oxidoreductase, partial [Rhodococcus sp. YH1]",WP_161994834,0.913,0.491
ref|WP_098955851.1|,NAD(P)/FAD-dependent oxidoreductase [Pseudonocardia sp. N23],WP_098955851,0.97,0.506
ref|WP_067724508.1|,NAD(P)/FAD-dependent oxidoreductase [Oceanobacillus damuensis],WP_067724508,0.958,0.485
emb|CZT03901.1|,"related to Cyclohexanone 1,2-monooxygenase [Rhynchosporium commune]",CZT03901,1.007,0.509
gb|RMY02776.1|,hypothetical protein D0868_07802 [Hortaea werneckii],RMY02776,0.98,0.513
ref|XP_024735661.1|,FAD/NAD(P)-binding domain-containing protein [Hyaloscypha bicolor E],XP_024735661,1.03,0.517
gb|KAE9975207.1|,hypothetical protein EG327_008520 [Venturia inaequalis],KAE9975207,0.97,0.5
ref|WP_011331502.1|,NAD(P)/FAD-dependent oxidoreductase [Rhodococcus erythropolis],WP_011331502,0.969,0.491
gb|KAF2247881.1|,cyclohexanone monooxygenase [Trematosphaeria pertusa],KAF2247881,1.015,0.528
gb|NCL72969.1|,Baeyer-Villiger monooxygenase [Rhodococcus sp. YH1],NCL72969,0.904,0.485
gb|KAF2211486.1|,hypothetical protein CERZMDRAFT_98373 [Cercospora zeae-maydis SCOH1-5],KAF2211486,0.976,0.496
gb|PSK44012.1|,hypothetical protein B9Z65_1729 [Elsinoe australis],PSK44012,1.033,0.513
gb|KAF2826994.1|,cyclohexanone monooxygenase [Ophiobolus disseminans],KAF2826994,1.007,0.507
ref|WP_051548534.1|,MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Dyella],WP_051548534,0.972,0.494
gb|ODU07596.1|,cyclohexanone monooxygenase [Pseudonocardia sp. SCN 72-86],ODU07596,0.982,0.504
ref|XP_013254920.1|,cyclohexanone monooxygenase [Exophiala aquamarina CBS 119918],XP_013254920,1.022,0.528
gb|ODU27081.1|,cyclohexanone monooxygenase [Pseudonocardia sp. SCN 72-51],ODU27081,0.982,0.502
gb|RMY81937.1|,hypothetical protein D0861_08108 [Hortaea werneckii],RMY81937,0.983,0.511
gb|OQO27341.1|,hypothetical protein B0A51_07595 [Rachicladosporium sp. CCFEE 5018],OQO27341,0.982,0.496
ref|XP_007761101.1|,cyclohexanone monooxygenase [Cladophialophora yegresii CBS 114405],XP_007761101,0.98,0.513
gb|OJI96494.1|,hypothetical protein ASPVEDRAFT_872232 [Aspergillus versicolor CBS 583.65],OJI96494,0.965,0.493
gb|TKA65676.1|,hypothetical protein B0A49_08156 [Cryomyces minteri],TKA65676,1.015,0.507
gb|PPJ53371.1|,hypothetical protein CBER1_00953 [Cercospora berteroae],PPJ53371,0.976,0.496
gb|QDJ94213.1|,SpzQ1 [Streptomyces sp.],QDJ94213,0.98,0.476
gb|OAL56024.1|,hypothetical protein IQ07DRAFT_628017 [Pyrenochaeta sp. DS3sAY3a],OAL56024,0.97,0.494
ref|XP_008730432.1|,hypothetical protein G647_07898 [Cladophialophora carrionii CBS 160.54],XP_008730432,0.98,0.507
gb|OCT45246.1|,"Cyclohexanone 1,2-monooxygenase [Cladophialophora carrionii]",OCT45246,0.98,0.507
ref|XP_022502692.1|,hypothetical protein AYO20_03187 [Fonsecaea nubica],XP_022502692,0.985,0.507
ref|XP_018277314.1|,FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Cutaneotrichosporon oleaginosum],XP_018277314,0.978,0.494
gb|OQD85595.1|,hypothetical protein PENSOL_c097G07314 [Penicillium solitum],OQD85595,0.978,0.504
ref|XP_007776369.1|,hypothetical protein W97_00263 [Coniosporium apollinis CBS 100218],XP_007776369,0.985,0.502
emb|CZR69687.1|,related to flavoprotein involved in K+ transport [Phialocephala subalpina],CZR69687,1.015,0.506
ref|XP_016253534.1|,hypothetical protein PV07_00176 [Cladophialophora immunda],XP_016253534,0.985,0.498
ref|XP_023460246.1|,Baeyer-Villiger monooxygenase [Cercospora beticola],XP_023460246,0.976,0.491
gb|KAF2482206.1|,monooxygenase [Neohortaea acidophila],KAF2482206,1.015,0.507
gb|OQD72773.1|,hypothetical protein PENDEC_c019G06718 [Penicillium decumbens],OQD72773,0.978,0.502
gb|KXL48962.1|,hypothetical protein FE78DRAFT_140916 [Acidomyces richmondensis],KXL48962,0.976,0.5
gb|EME49158.1|,hypothetical protein DOTSEDRAFT_68033 [Dothistroma septosporum NZE10],EME49158,0.959,0.507
ref|XP_015402735.1|,uncharacterized protein ANOM_010750 [Aspergillus nomius NRRL 13137],XP_015402735,0.976,0.487
ref|WP_120005745.1|,NAD(P)/FAD-dependent oxidoreductase [Nesterenkonia muleiensis],WP_120005745,1.004,0.482
gb|PKR94810.1|,Baeyer-Villiger monooxygenase [Cercospora zeina],PKR94810,0.945,0.485
ref|XP_013290206.1|,hypothetical protein Z517_01794 [Fonsecaea pedrosoi CBS 271.37],XP_013290206,0.985,0.504
ref|WP_052225475.1|,NAD(P)/FAD-dependent oxidoreductase [Mesorhizobium sp. F7],WP_052225475,0.969,0.476
ref|XP_016614637.1|,hypothetical protein Z519_11553 [Cladophialophora bantiana CBS 173.52],XP_016614637,0.987,0.502
gb|RDI83645.1|,hypothetical protein Vi05172_g6328 [Venturia inaequalis],RDI83645,0.98,0.493
gb|KAE9962356.1|,hypothetical protein BLS_000439 [Venturia inaequalis],KAE9962356,0.98,0.493
ref|XP_007742824.1|,cyclohexanone monooxygenase [Cladophialophora psammophila CBS 110553],XP_007742824,0.987,0.506
gb|OQU95640.1|,hypothetical protein CLAIMM_01822 [Cladophialophora immunda],OQU95640,1.004,0.5
ref|XP_001266500.1|,monooxygenase [Aspergillus fischeri NRRL 181],XP_001266500,0.987,0.498
ref|XP_022392420.1|,hypothetical protein ABOM_002072 [Aspergillus bombycis],XP_022392420,0.98,0.485
gb|OQV08792.1|,Peptidase M16 inactive domain-containing protein [Cladophialophora immunda],OQV08792,0.985,0.491
ref|XP_031864699.1|,Uncharacterized protein BP5553_10636 [Venustampulla echinocandica],XP_031864699,0.969,0.496
ref|XP_018696058.1|,hypothetical protein AYL99_01918 [Fonsecaea erecta],XP_018696058,0.982,0.5
emb|CVK96556.1|,related to flavoprotein involved in K+ transport [Fusarium mangiferae],CVK96556,0.921,0.483
gb|PMD22327.1|,FAD/NAD(P)-binding domain-containing protein [Pezoloma ericae],PMD22327,1.037,0.506
ref|XP_018691189.1|,hypothetical protein AYL99_08560 [Fonsecaea erecta],XP_018691189,0.991,0.494
gb|RBP07299.1|,cation diffusion facilitator CzcD-associated flavoprotein CzcO [Roseiarcus fermentans],RBP07299,0.982,0.476
ref|XP_022517027.1|,hypothetical protein AYO21_00423 [Fonsecaea monophora],XP_022517027,0.993,0.502
ref|XP_013283067.1|,hypothetical protein Z517_05871 [Fonsecaea pedrosoi CBS 271.37],XP_013283067,0.993,0.502
ref|XP_007296598.1|,monooxygenase [Marssonina brunnea f. sp. 'multigermtubi' MB_m1],XP_007296598,1.041,0.5
gb|KJX95987.1|,cyclohexanone monooxygenase like protein [Zymoseptoria brevis],KJX95987,0.993,0.496
gb|KAF2101361.1|,cyclohexanone monooxygenase [Rhizodiscina lignyota],KAF2101361,1,0.507
gb|KIW64611.1|,hypothetical protein PV04_09534 [Phialophora americana],KIW64611,0.978,0.498
ref|XP_007750305.1|,cyclohexanone monooxygenase [Cladophialophora psammophila CBS 110553],XP_007750305,0.987,0.502
gb|OQU95234.1|,hypothetical protein CLAIMM_01470 [Cladophialophora immunda],OQU95234,0.982,0.474
ref|XP_009153542.1|,cyclohexanone monooxygenase [Exophiala dermatitidis NIH/UT8656],XP_009153542,0.974,0.498
gb|KFZ09433.1|,hypothetical protein V502_08753 [Pseudogymnoascus sp. VKM F-4520 (FW-2644)],KFZ09433,1.044,0.498
gb|KFY92636.1|,hypothetical protein V500_04110 [Pseudogymnoascus sp. VKM F-4518 (FW-2643)],KFY92636,1.044,0.498
ref|XP_016249123.1|,hypothetical protein PV07_04761 [Cladophialophora immunda],XP_016249123,0.985,0.491
gb|KAB2573139.1|,Baeyer-Villiger monooxygenase [Lasiodiplodia theobromae],KAB2573139,0.983,0.489
ref|XP_022501534.1|,hypothetical protein AYO20_04138 [Fonsecaea nubica],XP_022501534,0.993,0.498
ref|XP_014181438.1|,cyclohexanone monooxygenase [Trichosporon asahii var. asahii CBS 2479],XP_014181438,0.974,0.496
gb|TKA31535.1|,hypothetical protein B0A54_15669 [Friedmanniomyces endolithicus],TKA31535,0.98,0.504
ref|WP_121278470.1|,NAD(P)/FAD-dependent oxidoreductase [Paraburkholderia sp. 7MK8-2],WP_121278470,0.976,0.483
gb|PSN68528.1|,FAD/NAD(P)-binding domain-containing protein [Corynespora cassiicola Philippines],PSN68528,0.983,0.478
ref|XP_018003885.1|,"Cyclohexanone 1,2-monooxygenase [Phialophora attinorum]",XP_018003885,0.998,0.487
ref|XP_016638279.1|,hypothetical protein Z520_00849 [Fonsecaea multimorphosa CBS 102226],XP_016638279,0.989,0.491
gb|OBT50766.1|,hypothetical protein VE04_08752 [Pseudogymnoascus sp. 24MN13],OBT50766,1.044,0.496
ref|XP_026612195.1|,hypothetical protein CDV56_102963 [Aspergillus thermomutatus],XP_026612195,0.993,0.498
gb|EKD01188.1|,cyclohexanone monooxygenase [Trichosporon asahii var. asahii CBS 8904],EKD01188,0.974,0.494
ref|XP_018125408.1|,hypothetical protein VE01_10318 [Pseudogymnoascus verrucosus],XP_018125408,1.044,0.494
tpg|HCB02768.1|,NAD(P)/FAD-dependent oxidoreductase [Nocardioides bacterium],HCB02768,0.965,0.472
gb|RVX71484.1|,hypothetical protein B0A52_05056 [Exophiala mesophila],RVX71484,0.982,0.493
emb|SMR52039.1|,unnamed protein product [Zymoseptoria tritici ST99CH_3D1],SMR52039,0.993,0.493
